nom$estActiveUrn$estActiveUrn_fr$estActiveUrn_nl$estActiveUrn_en$estActiveUrn_de$typeOffre$typeOffre_fr$typeOffre_nl$typeOffre_en$typeOffre_de$adresse1_rue$adresse1_numero$adresse1_boite$adresse1_idIns$adresse1_ins$adresse1_cp$adresse1_localite_fr$adresse1_localite_nl$adresse1_localite_en$adresse1_localite_de$adresse1_commune_fr$adresse1_commune_nl$adresse1_commune_en$adresse1_commune_de$adresse1_lieuPrecis$adresse1_provinceUrn_urn$adresse1_provinceUrn_fr$adresse1_provinceUrn_nl$adresse1_provinceUrn_en$adresse1_provinceUrn_de$adresse1_pays_urn$adresse1_pays_fr$adresse1_pays_nl$adresse1_pays_en$adresse1_pays_de$adresse1_lambertX$adresse1_lambertY$adresse1_latitude$adresse1_longitude$adresse1_altitude$adresse1_noaddress$adresse1_parcNaturel_label$adresse1_parcNaturel_idPn$adresse1_organisme$adresse1_organisme_idMdt
"N° 10 bis"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1173$85011$6821$Lacuisine$Lacuisine$Lacuisine$Lacuisine$Florenville$Florenville$Florenville$Florenville$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$216995,796875$48411,05078125$49,74409$5,29697$355,0789$false$"Parc Naturel de Gaume"$11$Gaume$10
"Promenade de l'allée Miest"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue de Luxembourg"$3$$1167$85046$6720$Habay-la-Neuve$Habay-la-Neuve$Habay-la-Neuve$Habay-la-Neuve$Habay$Habay$Habay$Habay$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$242122,78125$46962,3515625$49,72771$5,64517$404,87457$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Barrage promenade 14"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1005$82014$6660$Nadrin$Nadrin$Nadrin$Nadrin$Houffalize$Houffalize$Houffalize$Houffalize$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$244096,09375$94887,359375$50,1582$5,68432$327,95883$false$"Parc naturel des Deux-Ourthes"$9$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
Liaison$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1021$82038$6680$Sainte-Ode$Sainte-Ode$Sainte-Ode$Sainte-Ode$Sainte-Ode$Sainte-Ode$Sainte-Ode$Sainte-Ode$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$234606,921875$79350,3203125$50,01997$5,54809$424,39627$false$"Parc naturel des Deux-Ourthes"$9$"Pays de Bastogne"$26
"Promenade 20 - Bois de Harre"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1076$83055$6960$Manhay$Manhay$Manhay$Manhay$Manhay$Manhay$Manhay$Manhay$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$242184,125$110070,28125$50,29498$5,66127$430,579$false$"Hors Parcs"$1$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Diverticule Promenade des Romains"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$973$81013$6630$Martelange$Martelange$Martelange$Martelingen$Martelange$Martelange$Martelange$Martelingen$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$248008,3125$55728,4765625$49,80557$5,72901$490,32452$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Filly (FE)"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1005$82014$6660$Nadrin$Nadrin$Nadrin$Nadrin$Houffalize$Houffalize$Houffalize$Houffalize$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$244096,09375$94887,359375$50,1582$5,68432$327,95883$false$"Parc naturel des Deux-Ourthes"$9$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
"Le sentier Saint-Lambert"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$"Rue de Luxembourg"$3$$1167$85046$6720$Habay-la-Neuve$Habay-la-Neuve$Habay-la-Neuve$Habay-la-Neuve$Habay$Habay$Habay$Habay$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$242122,78125$46962,3515625$49,72771$5,64517$404,87457$false$"Parc naturel de la Haute-Sûre et de la forêt d'Anlier"$10$"Haute-Süre Forêt d'Anlier en Ardenne"$30
"Promenade n° 9"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$2997$82032$6690$Hébronval$Hébronval$Hébronval$Hébronval$Vielsalm$Vielsalm$Vielsalm$Vielsalm$$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$253223,203125$105851,9609375$50,25523$5,81501$500,01074$false$"Hors Parcs"$1$"Haute Ardenne"$33
"François REMY"$urn:val:etatedit:30$Publiable$Publicabel$Publishable$Publizierbar$8$Itinéraire$Route$Route$Route$$$$1005$82014$6660$Nadrin$Nadrin$Nadrin$Nadrin$Houffalize$Houffalize$Houffalize$Houffalize$"Syndicat d'Initiative"$urn:val:adrprov:bewlx$Luxembourg$Luxemburg$Luxembourg$Luxemburg$urn:val:adrpays:be$Belgique$België$Belgium$Belgien$244096,09375$94887,359375$50,1582$5,68432$327,95883$false$"Parc naturel des Deux-Ourthes"$9$"Cœur de l'Ardenne, au fil de l'Ourthe & de l'Aisne"$23
